Region_name Time_period Cluseter_id Lon(deg) Lat(deg) Depth(km) Magnitude Year Month Day Hour Minute Second
ALEUTIAN4 1995-1999 cluster_1 184.603 51.71600 33 4.8 1996 9 29 5 52 37.4200
ALEUTIAN4 1995-1999 cluster_1 184.605 51.81100 33 5. 1996 10 28 20 1 44.9800
ALEUTIAN4 1995-1999 cluster_1 184.663 51.33300 33 4.5 1996 10 31 9 14 53.4600
ALEUTIAN7 1995-1999 cluster_1 175.38901 51.53100 33 5.4 1998 8 20 14 56 40.0000
ALEUTIAN7 1995-1999 cluster_1 175.29501 51.46900 33 4.6 1998 8 20 16 38 47.5100
ALEUTIAN7 1995-1999 cluster_1 175.34001 51.44800 33 4.8 1998 8 21 3 24 21.8200
ALEUTIAN7 1995-1999 cluster_1 175.34500 51.51500 33 5.3 1998 8 23 14 1 11.3100
ALEUTIAN7 1995-1999 cluster_1 175.52600 51.43700 33 5.4 1998 8 28 15 31 38.2300
ALEUTIAN7 1995-1999 cluster_1 175.49001 51.51000 33 4.8 1998 8 28 16 33 36.4400
KAMCHATKA1 1995-1999 cluster_1 162.54401 55.21000 33 4.6 1997 12 3 13 37 51.6600
KAMCHATKA1 1995-1999 cluster_1 162.61900 55.22100 33 5.5 1997 12 4 22 41 50.4400
KAMCHATKA1 1995-1999 cluster_1 162.48100 55.34000 33 4.7 1997 12 4 22 46 45.8000
KAMCHATKA1 1995-1999 cluster_1 162.42101 55.28700 33 5.1 1997 12 5 0 6 16.3200
KAMCHATKA1 1995-1999 cluster_1 162.66101 55.26800 33 4.5 1997 12 5 1 10 19.3900
KAMCHATKA1 1995-1999 cluster_1 162.28201 55.30600 33 4.6 1997 12 5 2 8 6.1000
KAMCHATKA1 1995-1999 cluster_1 162.75601 55.15500 33 4.5 1997 12 5 2 13 54.9200
KAMCHATKA1 1995-1999 cluster_1 162.51100 55.32500 33 4.6 1997 12 5 3 42 35.3900
KAMCHATKA1 1995-1999 cluster_1 162.73100 55.12300 33 4.6 1997 12 5 5 33 56.3300
KAMCHATKA3 1995-1999 cluster_1 157.88200 51.02700 63.5 4.9 1995 12 11 6 17 26.7000
KAMCHATKA3 1995-1999 cluster_1 157.34300 50.71800 58.7 4.7 1996 1 6 9 18 54.9600
KAMCHATKA3 1995-1999 cluster_1 157.76601 51.09200 51.7 5. 1996 1 13 5 26 32.2800
KAMCHATKA3 1995-1999 cluster_1 157.76501 50.74200 43 4.9 1996 2 26 15 9 38.0200
KAMCHATKA3 1995-1999 cluster_1 157.19501 51.05500 33 4.8 1996 3 23 7 10 37.9400
KAMCHATKA4 1995-1999 cluster_1 154.05501 46.98600 33 5.1 1999 7 9 19 40 29.1000
KAMCHATKA4 1995-1999 cluster_1 153.96400 47.07800 33 5.1 1999 7 13 23 6 10.3000
KAMCHATKA4 1995-1999 cluster_1 153.97801 46.91400 33 4.5 1999 7 16 5 17 33.0900
KAMCHATKA4 1995-1999 cluster_1 154.37300 46.66000 33 4.8 1999 8 25 4 40 55.9800
KAMCHATKA4 1995-1999 cluster_1 154.25601 46.77100 33 5. 1999 10 24 12 49 26.8900
KAMCHATKA4 1995-1999 cluster_2 154.94000 48.20800 33 5.1 1997 5 22 14 41 18.8700
KAMCHATKA4 1995-1999 cluster_2 154.26601 48.29000 40.3 4.7 1997 7 7 19 32 40.2100
KAMCHATKA4 1995-1999 cluster_2 154.85600 48.10600 33 4.6 1997 7 31 15 23 36.8700
KAMCHATKA4 1995-1999 cluster_2 155.08900 48.17900 33 4.9 1997 8 10 14 15 39.0000
KAMCHATKA4 1995-1999 cluster_2 155.14500 47.96100 33 4.8 1997 8 10 14 17 45.2400
KAMCHATKA4 1995-1999 cluster_2 155.06300 47.94800 33 4.5 1997 8 10 14 30 51.4400
KAMCHATKA4 1995-1999 cluster_2 154.35800 48.42500 69.1 4.6 1997 9 18 4 47 54.9300
KAMCHATKA4 1995-1999 cluster_2 154.36801 48.24200 33 4.5 1997 10 4 21 15 53.5700
KAMCHATKA4 1995-1999 cluster_2 154.38200 48.22000 33 5.3 1997 11 8 12 14 37.4800
KURILE1 1995-1999 cluster_1 151.84401 45.32900 44.1 5.4 1996 10 29 10 31 15.9900
